chalmers/tkey-group22/application/cmd,Unknown,Unknown
chalmers/tkey-group22/application/data/db,Unknown,Unknown
chalmers/tkey-group22/application/internal,Unknown,Unknown
chalmers/tkey-group22/application/internal/handlers,Unknown,Unknown
chalmers/tkey-group22/application/internal/session_util,Unknown,Unknown
chalmers/tkey-group22/application/internal/structs,Unknown,Unknown
chalmers/tkey-group22/application/internal/util,Unknown,Unknown
github.com/golang/snappy,https://github.com/golang/snappy/blob/v0.0.4/LICENSE,BSD-3-Clause
github.com/gorilla/csrf,https://github.com/gorilla/csrf/blob/v1.7.2/LICENSE,BSD-3-Clause
github.com/gorilla/securecookie,https://github.com/gorilla/securecookie/blob/v1.1.2/LICENSE,BSD-3-Clause
github.com/gorilla/sessions,https://github.com/gorilla/sessions/blob/v1.4.0/LICENSE,BSD-3-Clause
github.com/joho/godotenv,https://github.com/joho/godotenv/blob/v1.5.1/LICENCE,MIT
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.16.7/LICENSE,MIT
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.16.7/LICENSE,Apache-2.0
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.16.7/LICENSE,BSD-3-Clause
github.com/klauspost/compress/internal/snapref,https://github.com/klauspost/compress/blob/v1.16.7/internal/snapref/LICENSE,BSD-3-Clause
github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.16.7/zstd/internal/xxhash/LICENSE.txt,MIT
github.com/montanaflynn/stats,https://github.com/montanaflynn/stats/blob/v0.7.1/LICENSE,MIT
github.com/xdg-go/pbkdf2,https://github.com/xdg-go/pbkdf2/blob/v1.0.0/LICENSE,Apache-2.0
github.com/xdg-go/scram,https://github.com/xdg-go/scram/blob/v1.1.2/LICENSE,Apache-2.0
github.com/xdg-go/stringprep,https://github.com/xdg-go/stringprep/blob/v1.0.4/LICENSE,Apache-2.0
github.com/youmark/pkcs8,https://github.com/youmark/pkcs8/blob/a2c0da244d78/LICENSE,MIT
go.mongodb.org/mongo-driver,https://github.com/mongodb/mongo-go-driver/blob/v1.17.3/LICENSE,Apache-2.0
golang.org/x/crypto,https://cs.opensource.google/go/x/crypto/+/v0.26.0:LICENSE,BSD-3-Clause
golang.org/x/sync,https://cs.opensource.google/go/x/sync/+/v0.8.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.17.0:LICENSE,BSD-3-Clause
